time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes
1611698400,1.21596,1.21699,1.20585,1.21078,0,0,0,0,0,0,0
1611784800,1.21078,1.21424,1.20808,1.21204,0,0,0,0,0,0,0
1611871200,1.21204,1.21561,1.20943,1.21327,0,0,0,0,0,0,0
1612130400,1.2127999999999999,1.21365,1.2056,1.20594,0,0,0,0,0,0,0
1612216800,1.20594,1.20878,1.20114,1.20433,0,0,0,0,0,0,0
1612303200,1.20433,1.20502,1.2004,1.2034799999999999,0,0,0,0,0,0,0
1612389600,1.2034799999999999,1.20428,1.19573,1.19614,0,0,0,0,0,0,0
1612476000,1.19614,1.205,1.1952099999999999,1.2049,0,0,0,0,0,0,0
1612735200,1.20364,1.2066,1.20198,1.20449,0,0,0,0,0,0,0
1612821600,1.20449,1.2122,1.20438,1.21169,0,0,0,0,0,0,0
1612908000,1.21169,1.21441,1.21088,1.21174,0,0,0,0,0,0,0
1612994400,1.21174,1.21495,1.21135,1.21281,0,0,0,0,0,0,0
1613080800,1.21281,1.2135,1.20815,1.21188,0,0,0,0,0,0,0
1613340000,1.21245,1.21452,1.21167,1.21275,0,0,0,0,0,0,0
1613426400,1.21275,1.21695,1.20952,1.21058,0,0,0,0,0,0,0
1613512800,1.21058,1.2106,1.2023,1.20343,0,0,0,0,0,0,0
1613599200,1.20343,1.20946,1.20343,1.20891,0,0,0,0,0,0,0
1613685600,1.20891,1.21445,1.20823,1.21142,0,0,0,0,0,0,0
1613944800,1.21129,1.21693,1.20911,1.21535,0,0,0,0,0,0,0
1614031200,1.21535,1.21801,1.21353,1.21496,0,0,0,0,0,0,0
1614117600,1.21496,1.21747,1.21092,1.21616,0,0,0,0,0,0,0
1614204000,1.21616,1.22432,1.21559,1.2167999999999999,0,0,0,0,0,0,0
1614290400,1.2167999999999999,1.2183,1.20622,1.20699,0,0,0,0,0,0,0
1614549600,1.20701,1.21012,1.20275,1.20484,0,0,0,0,0,0,0
1614636000,1.20484,1.20944,1.19918,1.209,0,0,0,0,0,0,0
1614722400,1.209,1.21133,1.20428,1.20619,0,0,0,0,0,0,0
1614808800,1.20619,1.20663,1.19615,1.19636,0,0,0,0,0,0,0
1614895200,1.19636,1.19771,1.18931,1.19076,0,0,0,0,0,0,0
1615154400,1.19176,1.19324,1.18441,1.18461,0,0,0,0,0,0,0
1615240800,1.18461,1.19158,1.1835499999999999,1.18997,0,0,0,0,0,0,0
1615327200,1.18997,1.19298,1.18688,1.19287,0,0,0,0,0,0,0
1615413600,1.19287,1.19899,1.19154,1.19838,0,0,0,0,0,0,0
1615500000,1.19838,1.19885,1.19099,1.19499,0,0,0,0,0,0,0
1615755600,1.1944299999999999,1.19675,1.1911,1.1924299999999999,0,0,0,0,0,0,0
1615842000,1.1924299999999999,1.19518,1.18821,1.19014,0,0,0,0,0,0,0
1615928400,1.19014,1.1985999999999999,1.18861,1.19777,0,0,0,0,0,0,0
1616014800,1.19777,1.19888,1.19062,1.19142,0,0,0,0,0,0,0
1616101200,1.19142,1.19372,1.1873799999999999,1.19011,0,0,0,0,0,0,0
1616360400,1.18709,1.19469,1.18708,1.19315,0,0,0,0,0,0,0
1616446800,1.19315,1.19408,1.18421,1.18486,0,0,0,0,0,0,0
1616533200,1.18486,1.18532,1.18097,1.18121,0,0,0,0,0,0,0
1616619600,1.18121,1.18278,1.17617,1.17634,0,0,0,0,0,0,0
1616706000,1.17634,1.18051,1.17622,1.1793,0,0,0,0,0,0,0
1616965200,1.17894,1.17939,1.1760599999999999,1.1764,0,0,0,0,0,0,0
1617051600,1.1764,1.17765,1.17112,1.17146,0,0,0,0,0,0,0
1617138000,1.17146,1.17601,1.17041,1.17299,0,0,0,0,0,0,0
1617224400,1.17299,1.178,1.17127,1.17757,0,0,0,0,0,0,0
1617310800,1.17757,1.1786699999999999,1.17491,1.1760599999999999,0,0,0,0,0,0,0
1617570000,1.17549,1.18195,1.17374,1.18103,0,0,0,0,0,0,0
1617656400,1.18103,1.18776,1.1795,1.18739,0,0,0,0,0,0,0
1617742800,1.18739,1.19148,1.18607,1.18621,0,0,0,0,0,0,0
1617829200,1.18621,1.19275,1.18608,1.19126,0,0,0,0,0,0,0
1617915600,1.19126,1.19201,1.18671,1.18976,0,0,0,0,0,0,0
1618174800,1.18893,1.19192,1.18713,1.19103,0,0,0,0,0,0,0
1618261200,1.19103,1.19559,1.18766,1.19473,0,0,0,0,0,0,0
1618347600,1.19473,1.19874,1.19429,1.19775,0,0,0,0,0,0,0
1618434000,1.19775,1.19932,1.19561,1.19645,0,0,0,0,0,0,0
1618520400,1.19645,1.1994799999999999,1.1950399999999999,1.19817,0,0,0,0,0,0,0
1618779600,1.1972099999999999,1.2048,1.19425,1.20363,0,0,0,0,0,0,0
1618866000,1.20363,1.20798,1.20225,1.20343,0,0,0,0,0,0,0
